greek,original,,,
αβγό,"αβγό, το",,,
αγαπάω,"αγαπάω, -ώ",,,
αγάπη,"αγάπη, η",,,
αγαπημένος,"αγαπημένος, -η, -ο",,,
αγαπητός,"αγαπητός, -ή, -ό",,,
αγγελία,"αγγελία, η",,,
Αγγελική,"Αγγελική, η",,,
Άγγελος,"Άγγελος, ο",,,
Αγγλία,"Αγγλία, η",,,
Άγγλος,"Άγγλος, -ίδα",,,
αγγούρι,"αγγούρι, το",,,
άγιος,"άγιος (/-ία), -ο",,,
αγκαλιά,"αγκαλιά, η",,,
αγκινάρα,"αγκινάρα, η",,,
αγκίστρι,"αγκίστρι, το",,,
άγκυρα,"άγκυρα, η",,,
άγνωστος,"άγνωστος, o / άγνωστη, η",,,
αγορά,"αγορά, η",,,
αγοράζω,αγοράζω,,,
αγόρι,"αγόρι, το",,,
άγχος,"άγχος, το",,,
αγώνας,"αγώνας, ο",,,
άδεια,"άδεια, η",,,
αδειάζω,αδειάζω,,,
αδερφή,αδερφή,,,
αδερφός,αδερφός,,,
αδυναμία,"αδυναμία, η",,,
αδυνατίζω,αδυνατίζω,,,
αδύνατος,"αδύνατος, -η, -ο",,,
αέριο,"αέριο, το",,,
αεροδρόμιο,"αεροδρόμιο, το",,,
αεροπλάνο,"αεροπλάνο, το",,,
Αθανασία,"Αθανασία, η",,,
Αθηνά,"Αθηνά, η",,,
αθλητής,"αθλητής/-τρια, ο/η",,,
αθλητισμός,"αθλητισμός, ο",,,
Αιγαίο πέλαγος,"Αιγαίο (πέλαγος), το",,,
Αίγινα,"Αίγινα, η",,,
Αίγυπτος,"Αίγυπτος, η",,,
Αιγύπτιος,Αιγύπτιος,,,
αιγυπτιακός,"αιγυπτιακός, -ή, -ό",,,
Αιθιοπία,"Αιθιοπία, η",,,
αίμα,"αίμα, το",,,
Αιμιλία,"Αιμιλία, η",,,
αισθάνομαι,αισθάνομαι,,,
Αϊτή,"Αϊτή, η",,,
αίτηση,"αίτηση, η",,,
αιτία,"αιτία, η",,,
Άιφελ Πύργος,Άιφελ (Πύργος),,,
ακολουθώ,Τower ακολουθώ,,,
ακόμη,ακόμη,,,
ακορντεόν,"ακορντεόν, το",,,
ακούω,ακούω,,,
ακριβός,"ακριβός, -ή, -ό",,,
ακριβώς,ακριβώς,,,
ακρόαση,"ακρόαση, η",,,
ακτή,"ακτή, η",,,
αλάτι,"αλάτι, το",,,
Αλβανία,"Αλβανία, η",,,
αλβανικά,αλβανική γλώσσα (/αλβανικά),,,
αλβανικός,"αλβανικός, -ή, -ό",,,
Αλβανός́,"Αλβανός, -ή/-ίδα",,,
Αλεξάνδρα,"Αλεξάνδρα, η",,,
Αλεξάνδρεια,"Αλεξάνδρεια, η",,,
Αλεξανδρούπολη,"Αλεξανδρούπολη, η",,,
Αλέξης,"Αλέξης, ο",,,
Αλεξία,"Αλεξία, η",,,
αλεύρι,"αλεύρι, το",,,
αλήθεια,"αλήθεια, η",,,
Αλίκη,"Αλίκη, η",,,
αλλά,αλλά,,,
αλλαγή,"αλλαγή, η",,,
αλλάζω,αλλάζω,,,
αλλιώς,αλλιώς,,,
άλλος,"άλλος, -η, -ο",,,
άλογο,"άλογο, το",,,
αλφάβητο,"αλφάβητο, το",,,
αμερικανικός,"αμερικανικός, -ή, -ό",,,
Αμερικανός,"Αμερικανός, -ίδα",,,
Αμερική (ΗΠΑ),Αμερική (ΗΠΑ),,,
αμέσως,αμέσως,,,
